Circuito,Posicion,Hellinger,Jensen-Shannon,Modo
pe_2_vq.py,31,0.03608384473385905,0.03601591698874056,Local DD
qwalk-noancilla_3_mqt.py,32,0.16197832253925004,0.16147314764844506,Local DD
pe_5_vq.py,33,0.19889127880743349,0.19597692842333111,Local DD
qft_3_mqt.py,34,0.1006895785649307,0.10054870352628097,Local DD
qwalk-v-chain_3_mqt.py,35,0.2694800786150901,0.26727274461806694,Local DD
shor_mod21_mqt.py,36,0.046509993194311997,0.04648152695896742,Local DD
tsp_indep_5_mqt.py,37,0.04799636947681088,0.04797012910875033,Local DD
grover-noancilla_4_mqt.py,38,0.13452108266654256,0.1342334672106541,Local DD
bv_4_vq.py,39,0.1270272643237604,0.12494185974236574,Local DD
dj_indep_4_mqt.py,40,0.11861742637700036,0.11764286083795357,Local DD
grover_9_vq.py,41,0.2589503825823923,0.25107949338629254,Local DD
bv_3_vq.py,42,0.07758675591886317,0.07724067189368639,Local DD
qwalk-v-chain_3_mqt.py,43,0.3109877427726282,0.3076412519382344,Local DD
3_17tc_vq.py,44,0.05426501162797583,0.054131979511703794,Local DD
qft_2_mqt.py,45,0.09535468668107347,0.09526685346753089,Local DD
su2_5_vq.py,46,0.10996653395893992,0.10762858866843046,Local DD
kickback_7_vq.py,47,0.013663303839111967,0.013663089734380855,Local DD
qwalk-v-chain_5_mqt.py,48,0.09808868584019041,0.09792626091631776,Local DD
qwalk-v-chain_5_mqt.py,49,0.11129095251141202,0.11101017743869011,Local DD
grover_7_vq.py,50,0.3482349938642151,0.3377043318265238,Local DD
su2_5_vq.py,51,0.12274652944673724,0.11942848747122081,Local DD
pe_5_mqt.py,52,0.3394852855352248,0.32664529074070364,Local DD
vqe_indep_4_mqt.py,53,0.12216061681584016,0.11880100297365033,Local DD
qaoa_indep_3_mqt.py,54,0.1265010007538288,0.1261444248775087,Local DD
grover-noancilla_3_mqt.py,55,0.15213888547526322,0.1504433641025955,Local DD
pe_3_mqt.py,56,0.10455205388462846,0.10377320887832368,Local DD
dj_indep_4_mqt.py,57,0.08513664531355375,0.08477567956420845,Local DD
grover-v-chain_4_mqt.py,58,0.23465769068153117,0.23267229134431155,Local DD
bv_3_vq.py,59,0.04940606547405286,0.0490752557679867,Local DD
grover-noancilla_4_mqt.py,60,0.148767790190994,0.1483874216672107,Local DD
adder_n4_vq.py,61,0.08918798849392809,0.08826549106504472,Local DD
bv_2_vq.py,62,0.09799745908454116,0.09690483114035175,Local DD
shor_mod15_mqt.py,63,0.11645078518614022,0.11533748369398912,Local DD
pe_6_mqt.py,64,0.18735326140327346,0.1832500081215455,Local DD
pe_5_mqt.py,65,0.2619314811258329,0.25617672573812716,Local DD
grover_9_vq.py,66,0.1795680019769313,0.16919883979548034,Local DD
qft_3_mqt.py,67,0.09742398243465059,0.09729047190060078,Local DD
qft_3_vq.py,68,0.12957966506984692,0.12907950137836227,Local DD
su2random_3_mqt.py,69,0.008467351785679237,0.008467267107206886,Local DD
